"PULocationID","pickup_count"
"132","145240"
"161","143471"
"237","142708"
"236","136465"
"162","106717"
"230","106324"
"186","104523"
"142","104080"
"138","89533"
"239","88474"
"163","85692"
"170","83064"
"68","77686"
"48","76476"
"234","76157"
"141","73946"
"249","66227"
"140","66060"
"79","65935"
"164","64912"
"238","64234"
"263","59797"
"107","59367"
"229","55220"
"246","50559"
"43","48279"
"100","48093"
"90","46497"
"262","42801"
"113","40530"
"114","40344"
"231","37050"
"143","35562"
"233","33595"
"137","32984"
"148","27964"
"144","25618"
"151","24381"
"158","23722"
"211","20197"
"75","18255"
"50","16262"
"13","15877"
"166","13806"
"125","13708"
"261","12893"
"70","12285"
"87","12102"
"264","10360"
"24","7849"
"88","7008"
"41","6832"
"74","6144"
"209","4481"
"45","3824"
"232","3737"
"224","3704"
"4","3568"
"42","3152"
"145","2764"
"226","2598"
"116","2198"
"193","2184"
"152","1960"
"244","1893"
"7","1811"
"265","1658"
"146","1492"
"65","1393"
"33","1257"
"97","1134"
"255","1110"
"25","1051"
"61","1046"
"10","999"
"181","983"
"76","938"
"129","913"
"256","912"
"12","875"
"260","813"
"130","755"
"216","735"
"188","720"
"66","705"
"223","679"
"80","676"
"39","673"
"168","663"
"112","661"
"179","642"
"215","595"
"89","595"
"225","583"
"37","563"
"35","546"
"95","544"
"82","531"
"52","530"
"17","516"
"93","510"
"49","504"
"243","495"
"197","489"
"91","461"
"72","459"
"219","446"
"28","438"
"51","408"
"14","403"
"71","401"
"62","383"
"40","356"
"177","354"
"189","345"
"205","342"
"69","340"
"218","337"
"195","328"
"247","326"
"36","320"
"134","303"
"213","300"
"55","296"
"1","295"
"157","290"
"167","289"
"159","289"
"86","275"
"56","270"
"127","262"
"235","261"
"191","258"
"165","256"
"222","255"
"92","250"
"117","249"
"77","245"
"26","237"
"196","236"
"182","232"
"254","231"
"155","226"
"207","213"
"228","212"
"210","211"
"198","210"
"169","208"
"203","203"
"85","197"
"78","195"
"242","194"
"63","190"
"18","187"
"121","187"
"258","185"
"83","182"
"47","173"
"119","173"
"131","172"
"202","167"
"241","164"
"139","162"
"29","162"
"106","161"
"217","160"
"220","153"
"22","153"
"123","153"
"135","151"
"21","145"
"38","143"
"248","142"
"174","142"
"136","137"
"124","133"
"32","132"
"20","130"
"133","128"
"81","127"
"149","126"
"185","125"
"212","123"
"108","119"
"60","119"
"259","119"
"208","118"
"250","110"
"180","105"
"3","105"
"147","105"
"126","105"
"67","103"
"227","102"
"194","98"
"200","98"
"160","97"
"94","91"
"173","83"
"19","82"
"150","82"
"16","81"
"201","80"
"122","79"
"171","79"
"257","78"
"98","76"
"102","75"
"252","71"
"192","67"
"34","62"
"54","62"
"178","61"
"154","58"
"11","58"
"9","57"
"175","56"
"101","56"
"190","53"
"153","49"
"64","49"
"53","48"
"183","47"
"73","43"
"15","38"
"128","22"
"6","21"
"240","18"
"120","15"
"253","14"
"96","12"
"8","11"
"57","10"
"118","9"
"46","7"
"31","7"
"27","6"
"58","6"
"206","6"
"251","5"
"23","4"
"221","4"
"214","4"
"156","4"
"30","3"
"2","3"
"115","2"
"176","2"
"172","2"
"84","2"
"199","2"
"59","2"
"184","2"
"245","2"
"187","2"
"44","1"
"105","1"
"111","1"
"204","1"
"109","1"
